1,1,c,Sequence,0
.,.,s,Sequence,1
THE,the,s,CommonAuthorities,0
Master,master,c,CommonAuthorities,1
",",",",s,,0
Wardens,wardens,c,CommonAuthorities,0
",",",",s,,0
and,and,s,,0
Assistants,assistants,c,PersonProperty,0
",",",",s,,0
in,in,s,,0
Gowns,gowns,s,SenseObject,0
faced,faced,s,Negativity,0
with,with,s,Negativity,1
Foins,foins,c,UNRECOGNIZED,0
",",",",s,,0
and,and,s,,0
their,their,n,PersonPronoun,0
Hoods,hoods,nn,SenseObject,0
2,2,c,Sequence,0
.,.,s,Sequence,1
The,the,s,,0
Livery,livery,s,SenseProperty,0
in,in,s,Specifiers,0
their,their,s,Specifiers,1
Gowns,gowns,s,SenseObject,0
Faced,faced,s,Negativity,0
with,with,s,Negativity,1
Budg,budg,c,UNRECOGNIZED,0
",",",",s,,0
and,and,s,,0
their,their,s,PersonPronoun,0
Hoods,hoods,c,SenseObject,0
.,.,nn,,0
3,3,c,Sequence,0
.,.,s,Sequence,1
Forty,forty,s,Numbers,0
Foins,foins,s,UNRECOGNIZED,0
Batchelors,batchelors,s,UNRECOGNIZED,0
in,in,s,,0
Gowns,gowns,s,SenseObject,0
and,and,s,,0
Scarlet,scarlet,s,SenseProperty,0
Hoods,hoods,c,SenseObject,0
.,.,nn,,0
4,4,c,Sequence,0
.,.,s,Sequence,1
Forty,forty,s,Numbers,0
Budg-Batchelors,budg-batchelors,s,UNRECOGNIZED,0
in,in,s,,0
Gowns,gowns,s,SenseObject,0
and,and,s,,0
Scarlet,scarlet,s,SenseProperty,0
Hoods,hoods,c,SenseObject,0
.,.,nn,,0
5,5,c,Sequence,0
.,.,s,Sequence,1
Forty,forty,s,Numbers,0
Gentlemen,gentlemen,s,Positivity,0
Ushers,ushers,s,Sequence,0
in,in,s,Sequence,1
Velvet,velvet,s,SenseProperty,0
Coats,coats,c,SenseObject,0
",",",",s,,0
each,each,s,Specifiers,0
of,of,s,,0
them,them,s,,0
a,a,s,SenseObject,0
Chain,chain,s,SenseObject,1
of,of,s,,0
Gold,gold,s,SenseObject,0
about,about,n,,0
his,his,s,PersonPronoun,0
Shoulder,shoulder,c,SenseObject,0
",",",",s,,0
and,and,s,,0
a,a,s,,0
White-Staff,white-staff,s,UNRECOGNIZED,0
in,in,s,Specifiers,0
his,his,s,Specifiers,1
Hand,hand,nn,SenseObject,0
6,6,c,Sequence,0
.,.,s,Sequence,1
Several,several,s,Specifiers,0
Drums,drums,s,SenseObject,0
and,and,s,,0
Fifes,fifes,s,SenseObject,0
with,with,s,,0
Scarfs,scarfs,c,,0
",",",",s,,0
and,and,s,,0
the,the,s,,0
Colors,colors,s,SenseProperty,0
of,of,s,,0
the,the,s,,0
Company,company,s,AbstractConcepts,0
in,in,n,Specifiers,0
their,their,s,Specifiers,1
Hats,hats,c,SenseObject,0
",",",",s,,0
Blew,blew,s,ReportingEvents,0
and,and,s,,0
Yellow,yellow,nn,SenseProperty,0
7,7,c,Sequence,0
.,.,s,Sequence,1
The,the,s,,0
Sergeant,sergeant,s,SenseObject,0
Trumpet,trumpet,c,SenseObject,1
