AMYNTAS,amyntas,s,UNRECOGNIZED,0
OR,or,s,,0
THE,the,s,StandardsNeg,0
IMPOSSIBLE,impossible,s,StandardsNeg,1
DOVVRY,dovvry,c,UNRECOGNIZED,0
.,.,nn,,0
A,a,s,,0
PASTORAL,pastoral,s,SenseProperty,0
ACTED,acted,s,ReportingEvents,0
before,before,s,Sequence,0
the,the,s,SenseObject,0
KING,king,s,SenseObject,1
and,and,s,,0
QUEEN,queen,s,PersonProperty,0
at,at,s,,0
White,white,s,SenseProperty,0
Hall,hall,c,SenseObject,0
.,.,nn,,0
Written,written,s,Citations,0
by,by,s,Citations,1
THOMAS,thomas,s,,0
RANDOLPH,randolph,c,UNRECOGNIZED,0
.,.,nn,,0
Pastorem,pastorem,c,UNRECOGNIZED,0
",",",",s,,0
Tityre,tityre,c,UNRECOGNIZED,0
",",",",s,,0
pingues,pingues,s,UNRECOGNIZED,0
Pascere,pascere,s,UNRECOGNIZED,0
oportet,oportet,s,,0
oves,oves,c,UNRECOGNIZED,0
",",",",s,,0
diductum,diductum,s,UNRECOGNIZED,0
dicere,dicere,s,,0
Carmen,carmen,c,PersonProperty,0
.,.,nn,,0
OXFORD,oxford,c,AbstractConcepts,0
",",",",nn,,0
Printed,printed,s,ReportingEvents,0
by,by,s,,0
Leonard,leonard,s,UNRECOGNIZED,0
Lichfield,lichfield,c,UNRECOGNIZED,0
",",",",s,ReasonForward,0
for,for,s,ReasonForward,1
Francis,francis,s,UNRECOGNIZED,0
Bowman,bowman,c,PersonProperty,0
.,.,s,,0
1638,1638,c,UNRECOGNIZED,0
.,.,nn,,0
The,the,s,SpaceRelation,0
Scene,scene,s,SpaceRelation,1
Sicilie,sicilie,c,UNRECOGNIZED,0
",",",",s,,0
in,in,s,,0
the,the,s,StandardsPos,0
holy,holy,s,StandardsPos,1
Vale,vale,c,SenseObject,0
.,.,nn,,0
The,the,s,TimeShift,0
time,time,s,TimeShift,1
an,an,s,,0
Astrologicall,astrologicall,s,UNRECOGNIZED,0
day,day,s,TimeDuration,0
from,from,s,,0
Noone,noone,s,,0
