PRice,price,s,AbstractConcepts,0
of,of,s,,0
my,my,s,Autobio,0
life,life,c,Autobio,1
:,:,s,,0
now,now,s,Immediacy,0
if,if,s,Contingency,0
the,the,s,Contingency,1
Devil,devil,s,AbstractConcepts,0
have,have,s,,0
bones,bones,c,SenseObject,0
",",",",s,,0
these,these,s,Immediacy,0
Dyce,dyce,s,UNRECOGNIZED,0
are,are,s,ReportingStates,0
made,made,s,Specifiers,0
of,of,s,Specifiers,1
his,his,c,PersonPronoun,0
.,.,n,,0
Was,was,s,ProjectBack,0
ever,ever,s,Biographical_Time,0
such,such,s,Specifiers,0
a,a,s,Specifiers,1
cast,cast,s,ReportingEvents,0
seen,seen,s,SpaceRelation,0
in,in,s,,0
this,this,s,,0
Age,age,c,Specifiers,0
?,?,s,Question,0
Could,could,s,Contingency,0
any,any,s,,0
Gull,gull,s,Negative_Relation,0
in,in,s,SpaceRelation,0
Europe,europe,s,SpaceRelation,1
(,(,c,,0
saving,saving,s,StandardsPos,0
my,my,n,FirstPer,0
self,self,c,SubjectivePercept,0
),),s,,0
fling,fling,s,Motions,0
such,such,s,Specifiers,0
a,a,s,Specifiers,1
cast,cast,nnn,ReportingEvents,0
Eye,eye,c,SenseObject,0
.,.,nnn,,0
No,no,c,DenyDisclaim,0
.,.,nnn,,0
Yes,yes,c,DirectAddress,0
.,.,nnn,Resistance,0
But,but,s,Resistance,1
I,i,s,DirectAddress,0
say,say,s,DirectAddress,1
no,no,c,DirectAddress,2
:,:,s,,0
I,i,s,Sad,0
have,have,s,Sad,1
lost,lost,s,Sad,2
an,an,s,,0
hundred,hundred,s,Numbers,0
pound,pound,c,Motions,0
",",",",n,,0
And,and,s,,0
I,i,s,Metadiscourse,0
will,will,s,Metadiscourse,1
have,have,s,Metadiscourse,2
my,my,s,FirstPer,0
saying,saying,c,Citations,0
.,.,nn,,0
I,i,s,Sad,0
have,have,s,Sad,1
lost,lost,s,Sad,2
an,an,s,Specifiers,0
other,other,s,Specifiers,1
hundred,hundred,c,Numbers,0
",",",",s,,0
I,i,s,Metadiscourse,0
Will,will,s,Metadiscourse,1
have,have,s,Metadiscourse,2
mine,mine,c,FirstPer,0
.,.,n,,0
Ey,ey,c,UNRECOGNIZED,0
",",",",s,,0
yes,yes,c,OralCues,0
",",",",s,OralCues,1
I,i,s,FirstPer,0
flung,flung,s,Narrative_Verbs,0
a,a,s,Narrative_Verbs,1
worse,worse,c,Negativity,0
:,:,s,,0
