GEntles,gentles,s,SenseProperty,0
more,more,nn,Comparison,0
Nay,nay,c,OralCues,0
",",",",s,Resistance,0
but,but,s,Resistance,1
Accutus,accutus,c,UNRECOGNIZED,0
",",",",s,,0
prithee,prithee,s,DirectAddress,0
what,what,s,,0
misshapen,misshapen,s,StandardsNeg,0
vizard,vizard,s,SenseObject,0
of,of,s,,0
Melancholy,melancholy,s,Sad,0
have,have,s,,0
thou,thou,n,DirectAddress,0
mask't,mask't,s,UNRECOGNIZED,0
thy,thy,s,DirectAddress,0
self,self,s,SubjectivePercept,0
in,in,c,,0
?,?,s,Question,0
thou,thou,s,DirectAddress,0
lookst,lookst,s,UNRECOGNIZED,0
as,as,s,,0
thou,thou,s,DirectAddress,0
were,were,s,ProjectBack,0
changing,changing,s,Transformation,0
thy,thy,s,DirectAddress,0
religion,religion,c,AbstractConcepts,0
:,:,s,Question,0
what,what,c,Question,1
?,?,s,Question,0
is,is,n,OpenQuery,0
there,there,s,OpenQuery,1
a,a,s,OpenQuery,2
breach,breach,s,StandardsNeg,0
in,in,s,,0
thy,thy,s,DirectAddress,0
Faith,faith,c,StandardsPos,0
?,?,s,Question,0
come,come,c,DirectAddress,0
",",",",s,DirectAddress,1
declare,declare,c,Citations,0
",",",",s,,0
and,and,s,,0
let,let,s,ReportingEvents,0
me,me,s,FirstPer,0
set,set,s,ReportingEvents,0
thy,thy,s,DirectAddress,0
wits,wits,s,StandardsPos,0
on,on,s,,0
work,work,c,GenericEvents,0
",",",",n,,0
to,to,s,,0
amend,amend,s,ReportingEvents,0
it,it,nnn,,0
Ha,ha,s,Positivity,0
ha,ha,s,Positivity,1
ha,ha,c,OralCues,0
!,!,nnn,,0
Pretty,pretty,c,SubjectivePercept,0
:,:,s,,0
a,a,s,PersonProperty,0
man's,man's,s,PersonProperty,1
well,well,s,SenseObject,0
aduisd,aduisd,s,UNRECOGNIZED,0
to,to,s,,0
offer,offer,s,ReportingEvents,0
good,good,s,StandardsPos,0
counsel,counsel,c,StandardsPos,1
",",",",s,,0
and,and,s,,0
be,be,s,ReportingStates,0
laughed,laughed,s,SubjectivePercept,0
at,at,s,SubjectivePercept,1
for,for,s,,0
his,his,n,PersonPronoun,0
labor,labor,c,AbstractConcepts,0
:,:,s,,0
we,we,s,Metadiscourse,0
shall,shall,s,Metadiscourse,1
shortly,shortly,s,SubjectiveTime,0
have,have,s,,0
no,no,s,DenyDisclaim,0
Counselors,counselors,s,PersonProperty,0
but,but,s,Resistance,0
Physicians,physicians,c,PersonProperty,0
",",",",s,,0
I,i,s,FirstPer,0
spend,spend,s,ReportingEvents,0
my,my,s,FirstPer,0
breath,breath,n,SenseObject,0
to,to,s,,0
thee,thee,c,DirectAddress,0
",",",",s,,0
and,and,s,,0
thou,thou,s,DirectAddress,0
answerest,answerest,s,UNRECOGNIZED,0
me,me,s,FirstPer,0
some,some,s,Uncertainty,0
half,half,s,TimeDuration,0
an,an,s,TimeDuration,1
hour,hour,s,TimeDuration,2
after,after,s,Sequence,0
in,in,s,,0
a,a,s,,0
sembreue,sembreue,c,UNRECOGNIZED,0
",",",",s,,0
or,or,s,,0
like,like,n,SubjectivePercept,0
to,to,s,SubjectivePercept,1
a,a,s,,0
Sexton,sexton,s,PersonProperty,0
with,with,s,Specifiers,0
a,a,s,Specifiers,1
Sobeitor,sobeitor,s,UNRECOGNIZED,0
Amen,amen,nnn,CommonAuthorities,0
Condemn,condemn,s,Negative_Relation,0
my,my,s,OralCues,0
Stars,stars,s,OralCues,1
then,then,c,TimeShift,0
.,.,nnn,TimeShift,1
I,i,s,Insist,0
should,should,s,Insist,1
wrong,wrong,s,StandardsNeg,0
am,am,s,FirstPer,0
then,then,c,TimeShift,0
",",",",s,TimeShift,1
as,as,s,,0
thou,thou,s,DirectAddress,0
do,do,s,ReportingEvents,0
with,with,s,ReportingEvents,1
a,a,s,,0
false,false,s,StandardsNeg,0
indictment,indictment,c,StandardsNeg,0
",",",",s,,0
I,i,s,FirstPer,0
know,know,s,Confidence,0
it,it,s,,0
took,took,n,ReportingEvents,0
not,not,c,DenyDisclaim,0
",",",",s,,0
being,being,s,SpaceRelation,0
at,at,s,SpaceRelation,1
thy,thy,s,DirectAddress,0
birth,birth,c,AbstractConcepts,0
",",",",s,,0
thou,thou,s,DirectAddress,0
have,have,s,ProjectBack,0
been,been,s,ProjectBack,1
merry,merry,c,Positivity,0
",",",",s,,0
thou,thou,s,DirectAddress,0
have,have,s,,0
sounded,sounded,s,SenseProperty,0
hoopes,hoopes,c,UNRECOGNIZED,0
",",",",n,,0
swallowed,swallowed,s,ReportingEvents,0
whiffes,whiffes,c,UNRECOGNIZED,0
",",",",s,,0
walked,walked,s,ReportingEvents,0
late,late,c,SubjectiveTime,0
",",",",s,,0
worn,worn,s,ReportingEvents,0
favors,favors,c,Positivity,0
",",",",s,,0
seen,seen,s,SpaceRelation,0
whore,whore,s,Negativity,0
sons,sons,c,PersonProperty,0
:,:,s,,0
thou,thou,s,DirectAddress,0
can,can,n,PrivateThinking,0
feel,feel,s,PrivateThinking,1
and,and,s,,0
understand,understand,c,PrivateThinking,0
",",",",s,,0
come,come,c,DirectAddress,0
",",",",s,DirectAddress,1
thou,thou,s,DirectAddress,0
have,have,s,ProjectBack,0
been,been,s,ProjectBack,1
a,a,s,,0
sinner,sinner,c,PersonProperty,0
:,:,s,,0
unload,unload,c,ReportingEvents,0
",",",",s,,0
discharge,discharge,c,Negativity,0
",",",",n,,0
vntune,vntune,c,UNRECOGNIZED,0
",",",",s,,0
confess,confess,c,Disclosure,0
",",",",s,,0
is,is,s,ReportingStates,0
venus,venus,s,UNRECOGNIZED,0
dominatrix,dominatrix,c,UNRECOGNIZED,0
?,?,s,Question,0
art,art,s,AbstractConcepts,0
not,not,s,DenyDisclaim,0
in,in,s,Positivity,0
love,love,nnn,Positivity,1
Yes,yes,c,OralCues,0
",",",",s,OralCues,1
I,i,s,FirstPer,0
love,love,s,AbstractConcepts,0
