province,province,s,CommonAuthorities,0
to,to,s,,0
make,make,s,ReportingEvents,0
more,more,c,Comparison,0
:,:,s,,0
Except,except,n,Exceptions,0
thou,thou,s,DirectAddress,0
desire,desire,s,Positivity,0
to,to,s,Positivity,1
have,have,s,,0
thy,thy,s,DirectAddress,0
source,source,s,AbstractConcepts,0
mix,mix,s,SpaceRelation,0
with,with,s,SpaceRelation,1
the,the,s,,0
Spring,spring,s,SpaceRelation,0
of,of,s,SpaceRelation,1
Self-love,self-love,c,StandardsPos,0
",",",",s,ReasonForward,0
and,and,s,ReasonForward,1
so,so,n,ReasonForward,2
wilt,wilt,s,SenseProperty,0
draw,draw,s,ReportingEvents,0
upon,upon,s,ReportingEvents,1
thee,thee,s,DirectAddress,0
as,as,s,,0
welcome,welcome,s,Positivity,0
a,a,s,Innovations,0
discovery,discovery,s,Innovations,1
of,of,s,Innovations,2
thy,thy,s,DirectAddress,0
days,days,c,TimeDuration,0
",",",",s,,0
as,as,s,Comparison,0
was,was,s,Comparison,1
then,then,s,Sequence,0
made,made,s,Sequence,1
of,of,n,,0
her,her,s,PersonPronoun,0
nights,nights,nn,,0
Thy,thy,s,DirectAddress,0
servant,servant,c,PersonProperty,0
",",",",s,Resistance,0
but,but,s,Resistance,1
not,not,s,DenyDisclaim,0
slave,slave,c,PersonProperty,0
",",",",s,,0
BEN,ben,c,PersonProperty,0
.,.,s,,0
IONSON,ionson,c,UNRECOGNIZED,0
.,.,n,,0
THE,the,s,SpaceRelation,0
SCENE,scene,c,SpaceRelation,1
.,.,s,,0
GARGAPHIE,gargaphie,c,UNRECOGNIZED,0
.,.,nn,Imperative,0
PRay,pray,s,Imperative,1
you,you,s,DirectAddress,0
away,away,c,,0
;,;,s,,0
why,why,s,Question,0
fellows,fellows,c,PersonProperty,0
?,?,s,Question,0
Gods,gods,s,CommonAuthorities,0
so,so,c,,0
?,?,s,Question,0
what,what,s,DirectAddress,0
do,do,s,DirectAddress,1
you,you,s,DirectAddress,2
mean,mean,c,,0
?,?,nnn,Question,0
Mary,mary,s,PersonProperty,0
that,that,s,DirectAddress,0
you,you,s,DirectAddress,1
shall,shall,s,ProjectAhead,0
not,not,s,ProjectAhead,1
speak,speak,s,ReportingEvents,0
the,the,s,Sequence,0
Prologue,prologue,c,Sequence,1
",",",",s,,0
sir,sir,c,PersonProperty,0
.,.,nnn,Question,0
Why,why,c,Question,1
?,?,s,Question,0
do,do,s,DirectAddress,0
you,you,s,DirectAddress,1
hope,hope,s,ProjectAhead,0
to,to,s,ProjectAhead,1
speak,speak,s,ReportingEvents,0
it,it,c,,0
?,?,nnn,Question,0
I,i,c,FirstPer,0
",",",",s,,0
and,and,s,,0
I,i,s,SelfDisclosure,0
think,think,s,SelfDisclosure,1
I,i,s,SelfDisclosure,0
have,have,s,SelfDisclosure,1
most,most,s,Comparison,0
right,right,s,SceneShift,0
to,to,s,SceneShift,1
it,it,c,,0
:,:,s,,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
sure,sure,s,Confidence,0
I,i,s,FirstPer,0
studied,studied,s,ReportingEvents,0
it,it,s,Sequence,0
first,first,c,Sequence,1
.,.,nnn,,0
That,that,s,Specifiers,0
Is,is,s,Specifiers,1
all,all,s,SubjectivePercept,0
one,one,c,SubjectivePercept,1
",",",",s,,0
if,if,s,Contingency,0
the,the,s,Contingency,1
Author,author,s,CommunicatorRole,0
think,think,s,PrivateThinking,0
I,i,s,Contingency,0
can,can,s,Contingency,1
speak,speak,s,ReportingEvents,0
it,it,s,Insist,0
better,better,c,Insist,1
.,.,nnn,,0
I,i,s,Insist,0
plead,plead,s,Insist,1
possession,possession,s,AbstractConcepts,0
of,of,s,,0
the,the,s,,0
cloak,cloak,c,SenseObject,0
:,:,s,,0
Gentles,gentles,c,SenseProperty,0
",",",",s,,0
your,your,s,DirectAddress,0
suffrages,suffrages,s,CommonAuthorities,0
I,i,s,FirstPer,0
pray,pray,s,Intensity,0
you,you,c,DirectAddress,0
.,.,nn,Question,0
Why,why,s,Question,1
Children,children,s,PersonProperty,0
are,are,s,DirectAddress,0
you,you,s,DirectAddress,1
not,not,s,Confidence,0
ashamed,ashamed,c,Confidence,1
?,?,s,Question,0
come,come,s,ReportingEvents,0
in,in,s,ReportingEvents,1
there,there,c,SpaceRelation,0
.,.,nnn,SpaceRelation,1
Slid,slid,c,ReportingStates,0
",",",",s,ReportingStates,1
I,i,s,FirstPer,0
Will,will,s,PredictedFuture,0
play,play,s,ReportingEvents,0
nothing,nothing,s,OralCues,0
in,in,s,OralCues,1
the,the,s,LangRef,0
Play,play,c,LangRef,1
:,:,s,,0
unless,unless,s,Contingency,0
I,i,s,FirstPer,0
speak,speak,s,ReportingEvents,0
it,it,c,,0
.,.,nnn,Question,0
Why,why,c,Question,1
",",",",s,Question,2
will,will,s,PredictedFuture,0
you,you,s,DirectAddress,0
stand,stand,s,ProjectAhead,0
to,to,s,ProjectAhead,1
most,most,s,Comparison,0
voices,voices,s,SenseProperty,0
of,of,s,SenseProperty,1
the,the,s,PersonProperty,0
gentlemen,gentlemen,c,PersonProperty,1
!,!,s,,0
let,let,s,ReportingEvents,0
that,that,s,,0
decide,decide,s,PrivateThinking,0
it,it,c,,0
.,.,nnn,,0
O,o,s,LangRef,0
no,no,c,OralCues,0
",",",",s,OralCues,1
sir,sir,s,PersonProperty,0
gallant,gallant,c,StandardsPos,0
;,;,s,,0
you,you,s,DirectAddress,0
presume,presume,s,Negativity,0
to,to,s,Negativity,1
have,have,s,Sequence,0
the,the,s,Sequence,1
start,start,s,Sequence,2
of,of,s,Inclusive,0
us,us,s,Inclusive,1
there,there,c,SpaceRelation,0
",",",",s,SpaceRelation,1
and,and,s,,0
that,that,s,,0
makes,makes,n,DirectAddress,0
you,you,s,DirectAddress,1
offer,offer,s,ReportingEvents,0
so,so,s,,0
prodigally,prodigally,nnn,Negativity,0
No,no,c,OralCues,0
",",",",s,OralCues,1
would,would,s,Future_Question,0
I,i,s,Future_Question,1
were,were,s,ProjectBack,0
whipped,whipped,c,Motions,0
",",",",s,,0
if,if,s,Contingency,0
I,i,s,Autobio,0
had,had,s,Autobio,1
any,any,s,,0
such,such,s,Intensity,0
thought,thought,c,PrivateThinking,0
:,:,s,,0
try,try,s,ProjectAhead,0
it,it,s,ProjectAhead,1
by,by,s,Contingency,0
lots,lots,s,Contingency,1
either,either,c,Intensity,0
.,.,nnn,Intensity,1
Faith,faith,c,StandardsPos,0
",",",",s,,0
I,i,s,FirstPer,0
dare,dare,s,SubjectivePercept,0
tempt,tempt,s,SubjectivePercept,0
my,my,s,FirstPer,0
fortune,fortune,s,ProjectAhead,0
in,in,s,SpaceRelation,0
a,a,s,SpaceRelation,1
greater,greater,s,SpaceRelation,2
venture,venture,s,Contingency,0
then,then,s,,0
this,this,c,Immediacy,0
.,.,nnn,Immediacy,1
Well,well,s,SenseObject,0
said,said,c,Citations,0
",",",",s,,0
resolute,resolute,s,StandardsPos,0
Jack,jack,c,AbstractConcepts,0
",",",",s,,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
content,content,s,AbstractConcepts,0
too,too,c,,0
:,:,s,,0
so,so,s,ReasonForward,0
we,we,s,ReasonForward,1
draw,draw,s,Motions,0
first,first,c,Sequence,0
.,.,s,Sequence,1
Make,make,s,ReportingEvents,0
the,the,s,,0
cuts,cuts,c,,0
.,.,nnn,Resistance,0
But,but,s,Resistance,1
will,will,s,PredictedFuture,0
you,you,s,DirectAddress,0
not,not,s,DenyDisclaim,0
snatch,snatch,s,Motions,0
my,my,s,FirstPer,0
cloak,cloak,c,SenseObject,0
",",",",s,,0
while,while,s,TimeDuration,0
I,i,s,TimeDuration,1
am,am,s,TimeDuration,2
stooping,stooping,c,Motions,0
?,?,nnn,Question,0
No,no,c,OralCues,0
",",",",s,OralCues,1
we,we,s,,0
scorn,scorn,s,Negative_Relation,0
treachery,treachery,c,Anger,0
.,.,nnn,DirectAddress,0
Which,which,s,DirectAddress,1
cut,cut,s,ReportingEvents,0
shall,shall,s,ProjectAhead,0
speak,speak,s,ReportingEvents,0
it,it,c,,0
?,?,nnn,Question,0
The,the,s,,0
shortest,shortest,c,Comparison,0
.,.,nnn,,0
Agreed,agreed,c,ReportingStates,0
.,.,nnn,ReportingStates,1
The,the,s,,0
shortest,shortest,s,Comparison,0
is,is,s,ReportingStates,0
come,come,s,Transformation,0
to,to,s,Transformation,1
the,the,s,Transformation,2
shortest,shortest,c,Comparison,0
.,.,s,,0
Fortune,fortune,s,ProjectAhead,0
was,was,s,ProjectBack,0
not,not,s,DenyDisclaim,0
altogether,altogether,s,Intensity,0
blind,blind,s,Negativity,0
in,in,n,,0
this,this,c,Immediacy,0
.,.,s,Immediacy,1
Now,now,c,Updates,0
",",",",s,Updates,1
sir,sir,c,PersonProperty,0
",",",",s,,0
I,i,s,SelfDisclosure,0
hope,hope,s,SelfDisclosure,1
I,i,s,Metadiscourse,0
shall,shall,s,Metadiscourse,1
go,go,s,ProjectAhead,0
forward,forward,s,ProjectAhead,1
without,without,s,Contingency,0
your,your,s,DirectAddress,0
envy,envy,nnn,Negative_Relation,0
A,a,s,,0
spite,spite,s,Negativity,0
of,of,s,Negativity,1
all,all,s,,0
mischievous,mischievous,s,PersonProperty,0
luck,luck,c,Positivity,0
!,!,s,,0
I,i,s,Autobio,0
was,was,s,Autobio,1
once,once,s,TimeShift,0
plucking,plucking,s,Motions,0
at,at,s,Motions,1
the,the,s,Specifiers,0
other,other,c,Specifiers,1
.,.,nnn,Imperative,0
Stay,stay,c,Imperative,1
",",",",s,,0
Jack,jack,c,AbstractConcepts,0
:,:,s,,0
Slid,slid,c,ReportingStates,0
",",",",s,ReportingStates,1
I,i,s,Metadiscourse,0
Will,will,s,Metadiscourse,1
do,do,s,Metadiscourse,2
somewhat,somewhat,s,Uncertainty,0
now,now,s,Immediacy,0
before,before,s,Sequence,0
I,i,s,FirstPer,0
go,go,s,SceneShift,0
in,in,c,SceneShift,1
",",",",s,Concessive,0
though,though,s,Concessive,1
it,it,s,Contingency,0
be,be,s,Contingency,1
nothing,nothing,n,Intensity,0
but,but,s,Intensity,1
to,to,s,,0
revenge,revenge,s,Resistance,0
my,my,s,FirstPer,0
self,self,s,SubjectivePercept,0
on,on,s,,0
the,the,s,CommunicatorRole,0
Author,author,c,CommunicatorRole,1
:,:,s,,0
since,since,s,,0
I,i,s,FirstPer,0
speak,speak,s,CommonAuthorities,0
not,not,s,CommonAuthorities,1
his,his,s,PersonPronoun,0
Prologue,prologue,c,Sequence,0
.,.,s,,0
I,i,s,Metadiscourse,0
Will,will,n,Metadiscourse,1
go,go,s,Metadiscourse,2
tell,tell,s,Disclosure,0
all,all,s,Disclosure,1
the,the,s,,0
argument,argument,s,LangRef,0
of,of,s,,0
his,his,s,PersonPronoun,0
play,play,s,ReportingEvents,0
aforehand,aforehand,c,UNRECOGNIZED,0
",",",",s,ReasonForward,0
and,and,s,ReasonForward,1
so,so,s,ReasonForward,2
stale,stale,s,Negativity,0
his,his,s,PersonPronoun,0
invention,invention,s,StandardsPos,0
to,to,n,,0
the,the,s,,0
auditorie,auditorie,s,UNRECOGNIZED,0
before,before,s,Sequence,0
it,it,s,Sequence,1
come,come,s,ReportingEvents,0
forth,forth,nnn,ReportingEvents,1
O,o,c,LangRef,0
",",",",s,,0
do,do,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
so,so,c,Intensity,0
.,.,nnn,Intensity,1
By,by,s,DenyDisclaim,0
no,no,s,DenyDisclaim,1
means,means,c,DenyDisclaim,2
.,.,nnn,Sequence,0
First,first,c,Sequence,1
",",",",s,Sequence,2
the,the,s,,0
title,title,s,LangRef,0
of,of,s,,0
his,his,s,PersonPronoun,0
play,play,s,ReportingEvents,0
is,is,s,ReportingStates,0
CYNTHIAS,cynthias,s,UNRECOGNIZED,0
Revels,revels,c,Positivity,0
",",",",s,,0
as,as,s,Comparison,0
any,any,s,Comparison,1
man,man,s,PersonProperty,0
(,(,c,,0
that,that,s,,0
has,has,s,Positivity,0
hope,hope,s,Positivity,1
to,to,n,GenericEvents,0
be,be,s,GenericEvents,1
saved,saved,s,StandardsPos,0
by,by,s,,0
his,his,s,PersonPronoun,0
book,book,c,,0
),),s,,0
can,can,s,Contingency,0
witness,witness,c,PersonProperty,0
;,;,s,,0
the,the,s,SpaceRelation,0
Scene,scene,c,SpaceRelation,1
",",",",s,,0
GARGAPHIE,gargaphie,c,UNRECOGNIZED,0
:,:,s,,0
which,which,s,,0
I,i,s,FirstPer,0
do,do,n,Intensity,0
vehemently,vehemently,s,Anger,0
suspect,suspect,s,Negativity,0
for,for,s,Specifiers,0
some,some,s,Specifiers,1
sustian,sustian,s,UNRECOGNIZED,0
country,country,c,AbstractConcepts,0
",",",",s,Resistance,0
but,but,s,Resistance,1
let,let,s,ReportingEvents,0
that,that,s,,0
vanish,vanish,c,SpaceRelation,0
.,.,s,SpaceRelation,0
Here,here,c,SpaceRelation,1
",",",",s,ReportingStates,0
is,is,s,ReportingStates,1
the,the,n,ReportingStates,2
court,court,s,AbstractConcepts,0
of,of,s,,0
CYNTHIA,cynthia,c,UNRECOGNIZED,0
",",",",s,,0
whither,whither,s,SpaceRelation,0
he,he,s,PersonPronoun,0
brings,brings,s,,0
CUPID,cupid,s,Positivity,0
(,(,c,,0
travailing,travailing,s,Negativity,0
on,on,s,Motions,0
foot,foot,c,Motions,1
),),s,,0
resolved,resolved,s,Promise,0
to,to,n,Promise,1
turn,turn,s,,0
page,page,c,SenseObject,0
.,.,s,,0
By,by,s,Aside,0
the,the,s,Aside,1
way,way,c,Aside,2
",",",",s,,0
CUPID,cupid,s,Positivity,0
meets,meets,s,SpaceRelation,0
with,with,s,SpaceRelation,1
MERCVRIE,mercvrie,c,UNRECOGNIZED,0
",",",",s,,0
(,(,c,Aside,0
as,as,s,Aside,1
that,that,s,Specifiers,0
is,is,s,Specifiers,1
a,a,s,Specifiers,2
thing,thing,s,Specifiers,3
to,to,s,GenericEvents,0
be,be,n,GenericEvents,1
noted,noted,c,ReportingStates,0
",",",",s,ReportingStates,1
take,take,s,ReportingEvents,0
any,any,s,Specifiers,0
of,of,s,Specifiers,1
our,our,s,Inclusive,0
play-bookes,play-bookes,s,UNRECOGNIZED,0
without,without,s,Contingency,0
a,a,s,Contingency,1
CUPID,cupid,c,Positivity,0
",",",",s,,0
or,or,s,,0
a,a,s,,0
MERCVRY,mercvry,s,UNRECOGNIZED,0
in,in,s,,0
it,it,c,,0
",",",",s,,0
and,and,n,,0
burn,burn,s,,0
it,it,s,,0
for,for,s,,0
an,an,s,,0
heretic,heretic,s,Negative_Relation,0
in,in,s,LangRef,0
Poetry,poetry,c,LangRef,1
),),s,,0
--,--,s,,0
Pray,pray,s,Intensity,0
thee,thee,s,DirectAddress,0
let,let,s,ReportingEvents,0
me,me,s,FirstPer,0
alone,alone,c,SpaceRelation,0
.,.,s,,0
MERCVRY,mercvry,c,UNRECOGNIZED,0
",",",",s,,0
he,he,n,PersonPronoun,0
(,(,c,,0
in,in,s,,0
the,the,s,Specifiers,0
nature,nature,s,Specifiers,1
of,of,s,Specifiers,2
a,a,s,,0
conjurer,conjurer,c,PersonProperty,0
),),s,,0
raises,raises,s,ReportingEvents,0
up,up,s,ReportingEvents,1
ECHO,echo,c,SpaceRelation,0
",",",",s,,0
who,who,s,,0
weeps,weeps,s,Sad,0
over,over,s,Sad,1
her,her,s,PersonPronoun,0
love,love,c,Positivity,0
",",",",s,,0
or,or,n,,0
Daffodill,daffodill,c,UNRECOGNIZED,0
",",",",s,,0
NARCISSUS,narcissus,c,Negativity,0
",",",",s,,0
a,a,s,SubjectivePercept,0
little,little,c,SubjectivePercept,1
;,;,s,,0
sings,sings,c,Motions,0
;,;,s,,0
curses,curses,s,Negativity,0
the,the,s,Negativity,1
spring,spring,s,AbstractConcepts,0
wherein,wherein,s,CommonAuthorities,0
the,the,s,SubjectivePercept,0
pretty,pretty,n,SubjectivePercept,1
foolish,foolish,s,Negativity,0
gentleman,gentleman,s,Positivity,0
melted,melted,s,ReportingEvents,0
himself,himself,s,PersonPronoun,0
