POETASTER,poetaster,c,Negativity,0
:,:,s,,0
This,this,c,Immediacy,0
",",",",s,Immediacy,1
this,this,s,ReportingStates,0
is,is,s,ReportingStates,1
it,it,c,,0
",",",",n,,0
That,that,s,,0
our,our,s,Inclusive,0
sunk,sunk,s,ReportingEvents,0
eyes,eyes,s,SenseObject,0
have,have,s,,0
wak't,wak't,s,UNRECOGNIZED,0
for,for,c,,0
",",",",s,Generalization,0
all,all,s,Generalization,1
this,this,s,,0
while,while,c,TimeDuration,0
:,:,n,,0
Here,here,s,SpaceRelation,0
will,will,s,PredictedFuture,0
be,be,s,PredictedFuture,1
subject,subject,s,LangRef,0
for,for,s,,0
my,my,s,FirstPer,0
snakes,snakes,c,SenseObject,0
",",",",s,,0
and,and,s,,0
me,me,c,FirstPer,0
.,.,n,Imperative,0
Cling,cling,s,Imperative,1
to,to,s,SelfDisclosure,0
my,my,s,SelfDisclosure,1
neck,neck,c,SenseObject,0
",",",",s,,0
and,and,s,,0
wrists,wrists,c,SenseObject,0
",",",",s,,0
my,my,s,FirstPer,0
loving,loving,s,Positivity,0
worms,worms,c,SenseObject,0
",",",",n,,0
And,and,s,,0
cast,cast,s,ReportingEvents,0
you,you,s,DirectAddress,0
round,round,c,SenseProperty,0
",",",",s,,0
in,in,s,,0
soft,soft,c,SenseProperty,0
",",",",s,,0
and,and,s,,0
amorous,amorous,s,Positivity,0
foulds,foulds,c,UNRECOGNIZED,0
",",",",n,,0
Till,till,s,TimeShift,0
I,i,s,TimeShift,1
do,do,s,Intensity,0
bid,bid,c,ReportingEvents,0
",",",",s,,0
vncurle,vncurle,c,UNRECOGNIZED,0
:,:,s,,0
Then,then,c,TimeShift,0
",",",",s,TimeShift,1
break,break,s,ReportingEvents,0
your,your,s,DirectAddress,0
knots,knots,c,SenseObject,0
",",",",n,,0
Shoot,shoot,s,Motions,0
out,out,s,Motions,1
your,your,s,DirectAddress,0
selves,selves,s,SubjectivePercept,0
at,at,s,SubjectiveTime,0
length,length,c,SubjectiveTime,1
",",",",s,,0
as,as,s,DirectAddress,0
your,your,s,DirectAddress,1
forced,forced,s,ReportingEvents,0
stings,stings,n,Negativity,0
Would,would,s,ProjectBack,0
hide,hide,s,ReportingEvents,0
themselves,themselves,s,PersonPronoun,0
within,within,s,,0
his,his,s,PersonPronoun,0
malic't,malic't,s,UNRECOGNIZED,0
sides,sides,c,AbstractConcepts,0
",",",",n,,0
To,to,s,PersonProperty,0
whom,whom,s,PersonProperty,1
I,i,s,Metadiscourse,0
shall,shall,s,Metadiscourse,1
apply,apply,s,ReportingEvents,0
you,you,c,DirectAddress,0
.,.,s,Imperative,0
Stay,stay,c,Imperative,1
!,!,s,,0
the,the,s,,0
shine,shine,n,SenseProperty,0
Of,of,s,Specifiers,0
this,this,s,Specifiers,1
assembly,assembly,s,AbstractConcepts,0
here,here,s,SpaceRelation,0
offends,offends,s,Anger,0
my,my,s,FirstPer,0
sight,sight,c,SenseProperty,0
",",",",n,,0
I,i,s,FirstPer,0
Will,will,s,PredictedFuture,0
darken,darken,s,SenseProperty,0
that,that,s,,0
first,first,c,Sequence,0
",",",",s,Sequence,1
and,and,s,,0
outface,outface,s,SpaceRelation,0
their,their,s,StandardsPos,0
grace,grace,c,StandardsPos,1
.,.,n,Imperative,0
Wonder,wonder,s,Imperative,1
not,not,c,DenyDisclaim,0
",",",",s,,0
if,if,s,Contingency,0
I,i,s,FirstPer,0
stare,stare,c,SpaceRelation,0
:,:,s,,0
these,these,s,Immediacy,0
fifteen,fifteen,s,TimeDuration,0
weeks,weeks,n,TimeDuration,1
(,(,c,,0
So,so,s,SubjectiveTime,0
long,long,s,SubjectiveTime,1
as,as,s,SubjectiveTime,2
since,since,s,,0
the,the,s,,0
plot,plot,s,LangRef,0
was,was,s,ProjectBack,0
but,but,s,ProjectBack,1
an,an,s,,0
embrion,embrion,c,UNRECOGNIZED,0
),),n,,0
Have,have,s,Question,0
I,i,c,Question,1
",",",",s,,0
with,with,s,,0
burning,burning,s,SenseProperty,0
lights,lights,c,SenseObject,0
",",",",s,,0
mixed,mixed,s,SenseProperty,0
vigilant,vigilant,s,StandardsPos,0
thoughts,thoughts,c,PrivateThinking,0
",",",",n,,0
In,in,s,,0
expectation,expectation,s,CommonAuthorities,0
of,of,s,CommonAuthorities,1
this,this,s,,0
hated,hated,s,Negativity,0
play,play,c,ReportingEvents,0
:,:,n,,0
To,to,s,,0
which,which,s,,0
(,(,c,,0
at,at,s,SubjectiveTime,0
last,last,c,SubjectiveTime,1
),),s,,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
arrived,arrived,s,ReportingEvents,0
as,as,s,,0
Prologue,prologue,c,Sequence,0
.,.,n,Metadiscourse,0
Nor,nor,s,Metadiscourse,1
would,would,s,Future_Question,0
I,i,c,Future_Question,1
",",",",s,,0
you,you,s,Insist,0
should,should,s,Insist,1
look,look,s,ReportingEvents,0
for,for,s,ReportingEvents,1
other,other,s,Specifiers,0
looks,looks,c,ReportingEvents,0
",",",",n,,0
Gesture,gesture,c,Motions,0
",",",",s,,0
or,or,s,,0
complement,complement,s,AbstractConcepts,0
from,from,s,SelfDisclosure,0
me,me,c,SelfDisclosure,1
",",",",s,,0
then,then,s,ReasonForward,0
what,what,n,ReasonForward,1
The,the,s,,0
Infected,infected,s,StandardsNeg,0
bulk,bulk,s,SenseObject,0
of,of,s,SenseObject,1
ENVY,envy,s,Negative_Relation,0
can,can,s,Contingency,0
afford,afford,c,Positivity,0
:,:,n,,0
For,for,s,ReasonForward,0
I,i,s,ReasonForward,1
am,am,s,ReasonForward,2
risse,risse,s,UNRECOGNIZED,0
here,here,s,SpaceRelation,0
with,with,s,Specifiers,0
a,a,s,Specifiers,1
covetous,covetous,s,SubjectivePercept,0
hope,hope,c,Positivity,0
",",",",n,,0
To,to,s,,0
blast,blast,s,Negativity,0
your,your,s,Negativity,1
pleasures,pleasures,c,Positivity,0
",",",",s,,0
and,and,s,,0
destroy,destroy,s,Negativity,0
your,your,s,DirectAddress,0
sports,sports,c,SenseProperty,0
",",",",n,,0
With,with,s,,0
wrestings,wrestings,c,UNRECOGNIZED,0
