leg,leg,c,ReportingEvents,2
",",",",n,,0
Who,who,s,,0
purblind,purblind,s,Negativity,0
grew,grew,s,ReportingEvents,0
with,with,s,,0
viewing,viewing,s,SenseProperty,0
of,of,s,SenseProperty,1
those,those,s,,0
Stars,stars,n,SenseObject,0
Never,never,s,DenyDisclaim,0
made,made,s,ReportingEvents,0
them,them,s,,0
worth,worth,s,StandardsPos,0
a,a,s,StandardsPos,1
groat,groat,c,SenseObject,0
;,;,s,,0
and,and,s,,0
took,took,s,ReportingEvents,0
strange,strange,s,SubjectivePercept,0
pains,pains,n,Negativity,0
In,in,s,Negativity,1
measuring,measuring,s,ReportingEvents,0
Sea,sea,s,SenseObject,0
and,and,s,,0
Land,land,c,AbstractConcepts,0
",",",",s,,0
when,when,s,TimeShift,0
they,they,s,TimeShift,1
would,would,s,ProjectBack,0
more,more,s,Comparison,0
need,need,n,Insist,0
To,to,s,Insist,1
have,have,s,ReportingEvents,0
a,a,s,ReportingEvents,1
Tailor,tailor,s,PersonProperty,0
come,come,s,ReportingEvents,0
and,and,s,,0
measure,measure,s,ReportingEvents,0
them,them,c,ReportingEvents,1
;,;,n,,0
In,in,s,,0
troth,troth,s,CommonAuthorities,0
my,my,s,DirectAddress,0
Lord,lord,c,DirectAddress,1
",",",",s,,0
here,here,s,Immediacy,0
is,is,s,Immediacy,1
blessed,blessed,s,StandardsPos,0
Company,company,c,AbstractConcepts,0
;,;,n,,0
Who,who,s,Future_Question,0
would,would,s,Future_Question,1
not,not,s,DenyDisclaim,0
change,change,s,DenyDisclaim,1
this,this,s,Immediacy,0
world,world,s,Immediacy,1
for,for,s,Specifiers,0
such,such,s,Specifiers,1
a,a,s,SubjectivePercept,0
life,life,c,SubjectivePercept,1
?,?,nn,Question,0
Fie,fie,c,Negativity,0
",",",",s,,0
fie,fie,c,Negativity,0
",",",",s,,0
Neander,neander,c,UNRECOGNIZED,0
.,.,s,ReportingStates,0
This,this,s,ReportingStates,1
is,is,s,ReportingStates,2
too,too,s,,0
profane,profane,c,StandardsNeg,0
",",",",n,,0
And,and,s,,0
rellisheth,rellisheth,s,UNRECOGNIZED,0
far,far,s,Intensity,0
more,more,s,Intensity,1
of,of,s,,0
beast,beast,s,Negativity,0
then,then,s,,0
man,man,c,PersonProperty,0
.,.,nn,,0
My,my,s,DirectAddress,0
